Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SALARY
Giannis Antetokounmpo,MIL,30,24,13,11,35.0,32.7,12.8,20.9,61.3,0.2,0.8,22.2,7.0,11.3,61.4,2.0,9.6,11.6,6.0,3.4,0.7,1.5,2.3,58.8,20,3,0.4,12000
Shai Gilgeous-Alexander,OKC,26,31,26,5,34.5,31.0,10.9,20.9,52.3,2.1,6.2,34.4,7.0,7.9,88.2,0.8,4.8,5.6,6.2,2.7,1.9,1.2,2.2,53.7,2,0,12.1,12000
Nikola Joki?,DEN,29,28,17,11,37.2,31.0,11.8,20.9,56.3,2.3,4.7,48.9,5.1,6.4,79.4,3.5,9.4,12.9,9.5,3.4,1.8,0.6,2.0,64.3,22,13,8.5,12000
LaMelo Ball,CHA,23,22,6,16,33.7,30.1,10.5,24.6,42.5,4.5,13.0,34.6,4.7,5.5,84.4,0.9,4.5,5.3,7.4,4.1,1.3,0.2,3.7,48.1,6,0,-1.8,12000
Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2,0,5.8,12000
Jayson Tatum,BOS,26,29,21,8,36.6,28.5,9.4,20.3,46.6,3.9,10.5,36.7,5.7,7.1,80.6,0.7,8.9,9.6,5.6,2.8,1.3,0.5,2.6,50.9,16,1,8.5,12000
Luka Doncic,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10,3,7.6,12000
Kevin Durant,PHX,36,21,14,7,35.9,27.7,9.7,19.1,50.9,2.4,5.9,41.1,5.8,6.9,84.1,0.5,5.9,6.4,3.7,3.3,0.8,1.3,1.8,43.7,2,0,-0.9,12000
De'Aaron Fox,SAC,27,32,13,19,37.3,26.3,9.8,20.3,48.1,2.0,6.3,32.2,4.8,6.0,80.1,1.1,3.9,5.0,6.3,3.4,1.7,0.3,2.7,44.3,5,0,-0.3,12000
Anthony Davis,LAL,31,30,18,12,34.7,26.0,9.4,17.8,52.7,0.7,2.1,31.3,6.6,8.5,77.6,2.6,8.9,11.5,3.5,2.2,1.2,2.0,1.9,52.7,22,0,-0.3,12000
Tyrese Maxey,PHI,24,23,11,12,37.2,26.0,9.0,21.4,42.0,3.3,9.6,33.9,4.7,5.7,82.6,0.2,3.5,3.7,5.4,2.2,2.0,0.4,2.3,43.7,4,1,-0.9,12000
Damian Lillard,MIL,34,23,12,11,36.3,25.9,7.9,17.7,44.8,3.4,9.3,36.9,6.6,7.2,92.1,0.6,4.0,4.6,7.7,2.9,1.1,0.2,1.9,43.9,7,0,-0.9,12000
Victor Wembanyama,SAS,20,27,14,13,33.1,25.5,9.1,19.1,47.8,3.4,9.5,35.9,3.8,4.3,88.0,1.9,8.2,10.0,3.8,3.5,1.0,4.0,2.0,54.8,12,1,3.4,12000
Jalen Brunson,NYK,28,33,23,10,34.9,25.2,8.6,17.8,48.3,2.5,6.2,40.3,5.6,6.8,82.5,0.4,2.5,3.0,7.7,2.4,0.8,0.1,2.2,40.5,7,0,6.3,12000
